FID;SHAPE;NAME;ADRESSE;SE_SDO_ROWID;SE_ANNO_CAD_DATA
SCHULEOGD.1586618;POINT (16.373884121121545 48.1662462874497);Übungsvolksschule der pädagogischen Akademie des Bundes in Wien;10., Ettenreichgasse 45B;1586618;
SCHULEOGD.1586876;POINT (16.35434967542187 48.220694451572186);Volksschule Währinger Straße 43;9., Währinger Straße 43;1586876;
SCHULEOGD.1586877;POINT (16.420584793178005 48.28659365509687);Volksschule Rittingergasse 29a;21., Rittingergasse 29A;1586877;
SCHULEOGD.1586880;POINT (16.26771839285241 48.15211630693759);Volksschule I Bendagasse 1-2;23., Bendagasse 1-2;1586880;
SCHULEOGD.1586884;POINT (16.420367154256933 48.17990605421701);Volksschule Simoningplatz 2;11., Simoningplatz 2;1586884;
SCHULEOGD.1586886;POINT (16.472750915559992 48.24583500460501);Volksschule Pastinakweg 10;22., Pastinakweg 10;1586886;
SCHULEOGD.1586887;POINT (16.437400260961134 48.25952151695806);Volksschule Zehdengasse 9;21., Zehdengasse 9;1586887;
SCHULEOGD.1586889;POINT (16.37963542826202 48.17533127718863);Volksschule Quellenstraße 54;10., Quellenstraße 52-54;1586889;
SCHULEOGD.1586890;POINT (16.364303086573806 48.18948346913715);Volksschule Phorusgasse 4;4., Phorusgasse 4;1586890;
SCHULEOGD.1586894;POINT (16.389856508691565 48.1666394639052);Volksschule Rudolf-Friemel-Gasse 3;10., Rudolf-Friemel-Gasse 3;1586894;
SCHULEOGD.1586712;POINT (16.35747786950032 48.22738119213526);Volksschule Marktgasse 31;9., Marktgasse 31-35;1586712;
SCHULEOGD.1586717;POINT (16.33833847851553 48.185228650799466);Volksschule Haebergasse 1a;12., Haebergasse 1A;1586717;
SCHULEOGD.1586722;POINT (16.39287516513196 48.193834348875946);Volksschule Eslarngasse 23;3., Eslarngasse 23;1586722;
SCHULEOGD.1586724;POINT (16.371974555404556 48.176162121766744);Volksschule Jagdgasse 22;10., Jagdgasse 22;1586724;
SCHULEOGD.1586727;POINT (16.441975172878863 48.26060191629892);Expositur der Volksschule Brioschiweg 3 (Brioschiweg 1;22., Brioschiweg 1;1586727;
SCHULEOGD.1586728;POINT (16.38647064204513 48.17124728185014);Volksschule Laimäckergasse 17;10., Laimäckergasse 17;1586728;
SCHULEOGD.1586729;POINT (16.284848657660945 48.18956138642016);Volksschule Auhofstraße 49;13., Auhofstraße 49;1586729;
SCHULEOGD.1586731;POINT (16.408942492046947 48.23415083192904);Volksschule Leonard-Bernstein-Straße 2;22., Leonard-Bernstein-Straße 2;1586731;
SCHULEOGD.1586734;POINT (16.384102545356786 48.16505788018227);Volksschule Maria-Rekker-Gasse 3;10., Maria-Rekker-Gasse 3;1586734;
SCHULEOGD.1586735;POINT (16.41347033597894 48.29993380230398);Volksschule Dr.-Skala-Straße 43-45;21., Dr.-Skala-Straße 43-45;1586735;
